feature,pfi_mean,mdi_mean,shap_magnitude
f11_hy_oas_5d_change,-0.0033412435337630978,0.016992322764871535,0.0
f11_ig_oas_z,-0.0026075801479103007,0.021274411858443677,0.0
f11_hy_ig_ratio,0.001643964776065454,0.012697041979797099,0.0
f11_dxy_z,-0.0023843382844027134,0.014413530049684372,0.0
f11_dxy_5d_change,0.0005301272988868437,0.005569215991850498,0.0
f11_eurusd_5d_change,-0.00048321578567858496,0.00400597314394862,0.0
f11_crude_stock_surprise,-0.013202866794998524,0.016071158678581606,0.0
f11_dist_stock_surprise,-0.001491364626241883,0.005924849317774265,0.0
f11_gasoline_stock_surprise,-0.005687847027121861,0.020421523751858104,0.0
f11_ng_stock_surprise,0.003117905470116326,0.03251525666496388,0.0
f11_copper_stock_z,-0.0009126564412341424,0.0069851719050169755,0.0
f11_baltic_dry_z,-0.005816024299659813,0.012959653211619094,0.0
f11_baltic_5d_change,-0.0013701181584799382,0.006171080933148153,0.0
f11_ism_pmi_level,0.002989160680022903,0.013351816032846178,0.0
f11_ism_pmi_3m_change,-0.0024656195622856964,0.00833314451425527,0.0
f11_china_pmi_level,-0.0020654671086067482,0.01414705477913924,0.0
f11_global_pmi_breadth,0.00041596254725916325,0.005492101476968543,0.0
f12_mra_energy_D1,0.00016365385873277072,0.004845926011186954,0.0
f12_mra_energy_D2,-0.0005301159694786358,0.003244996467545615,0.0
f12_mra_energy_D3,-0.0005827582748057392,0.005097192171893468,0.0
f12_mra_energy_D4,-0.00027974639323412965,0.0023110921426937898,0.0
f12_mra_energy_D5,-0.00038134652026885487,0.00570760311628354,0.0
f13_path_tortuosity_20d,-0.0005359866418703267,0.006121240962528961,0.0
f13_realized_semi_vol_ratio,-0.0003643727997676427,0.008937944382715592,0.0
f13_expected_hit_time,-0.0002562770928848083,0.0007764124167140879,0.0
f13_prob_timeout,0.0001619133435849888,0.0036610611478932486,0.0
f15_ewma_implied_corr_z,-0.002788476484425813,0.02078525989413647,0.0
hmm_vol_p0_calm,0.0006655656711502885,0.008506983480814778,0.0
hmm_vol_p2_turbulent,0.0008036840636977405,0.006941691897904441,0.0
hmm_vol_next_turbulent,0.0028280377238319256,0.009323281194689604,0.0
hmm_vol_entropy,-2.0055177532648145e-05,0.0032841596834236896,0.0
hmm_macro_p0,-0.0023788154226170753,0.008465707937437119,0.0
hmm_macro_entropy,0.0007141749297391642,0.008650369119603346,0.0
