instrument,variant,pool,n_pool_members,model,n_modelling,n_oos_for_instrument,mean_auc,std_auc,sem,is_champion
cl1s,without_bbg,energy_cl_ho,2,elasticnet_logistic,263,1066,0.523938,0.071164,0.019019,False
cl1s,without_bbg,energy_cl_ho,2,random_forest,263,1066,0.507473,0.035632,0.009523,False
cl1s,without_bbg,energy_cl_ho,2,lightgbm,263,1066,0.525965,0.052544,0.014043,False
cl1s,without_bbg,energy_cl_ho,2,xgboost,263,1066,0.507143,0.051927,0.013878,False
cl1s,without_bbg,energy_cl_ho,2,multitask_nn,263,1066,0.477140,0.058214,0.015558,False
cl1s,without_bbg,energy_all,4,elasticnet_logistic,668,1066,0.494711,0.052384,0.014000,False
cl1s,without_bbg,energy_all,4,random_forest,668,1066,0.498983,0.064301,0.017185,False
cl1s,without_bbg,energy_all,4,lightgbm,668,1066,0.504581,0.066886,0.017876,False
cl1s,without_bbg,energy_all,4,xgboost,668,1066,0.484379,0.078157,0.020888,False
cl1s,without_bbg,energy_all,4,multitask_nn,668,1066,0.556193,0.050572,0.013516,True
ho1s,without_bbg,energy_cl_ho,2,elasticnet_logistic,263,158,0.458589,0.207605,0.057579,True
ho1s,without_bbg,energy_cl_ho,2,random_forest,263,158,0.417327,0.218566,0.060619,False
ho1s,without_bbg,energy_cl_ho,2,lightgbm,263,158,0.447469,0.202055,0.056040,False
ho1s,without_bbg,energy_cl_ho,2,xgboost,263,158,0.469547,0.210031,0.058252,False
ho1s,without_bbg,energy_cl_ho,2,multitask_nn,263,158,0.467249,0.211792,0.058741,False
ho1s,without_bbg,energy_all,4,elasticnet_logistic,668,160,0.467216,0.197144,0.054678,False
ho1s,without_bbg,energy_all,4,random_forest,668,160,0.462007,0.139690,0.038743,False
ho1s,without_bbg,energy_all,4,lightgbm,668,160,0.427279,0.165509,0.045904,False
ho1s,without_bbg,energy_all,4,xgboost,668,160,0.417898,0.179921,0.049901,False
ho1s,without_bbg,energy_all,4,multitask_nn,668,160,0.431349,0.213807,0.059299,False
rb1s,without_bbg,rb1s,1,elasticnet_logistic,377,1756,0.377295,0.119518,0.031943,False
rb1s,without_bbg,rb1s,1,random_forest,377,1756,0.509410,0.036349,0.009715,True
rb1s,without_bbg,rb1s,1,lightgbm,377,1756,0.485810,0.106611,0.028493,False
rb1s,without_bbg,rb1s,1,xgboost,377,1756,0.490310,0.094242,0.025187,False
rb1s,without_bbg,energy_all,4,elasticnet_logistic,668,1750,0.379245,0.068706,0.018362,False
rb1s,without_bbg,energy_all,4,random_forest,668,1750,0.474968,0.078861,0.021076,False
rb1s,without_bbg,energy_all,4,lightgbm,668,1750,0.486487,0.084634,0.022619,False
rb1s,without_bbg,energy_all,4,xgboost,668,1750,0.476822,0.074792,0.019989,False
rb1s,without_bbg,energy_all,4,multitask_nn,668,1750,0.388632,0.093656,0.025031,False
ng1s,without_bbg,energy_all,4,elasticnet_logistic,668,140,0.556183,0.188623,0.054451,True
ng1s,without_bbg,energy_all,4,random_forest,668,140,0.578193,0.212826,0.061438,False
ng1s,without_bbg,energy_all,4,lightgbm,668,140,0.562668,0.284069,0.082004,False
ng1s,without_bbg,energy_all,4,xgboost,668,140,0.550498,0.257676,0.074385,False
ng1s,without_bbg,energy_all,4,multitask_nn,668,140,0.413568,0.197871,0.057120,False
gc1s,without_bbg,precious,3,elasticnet_logistic,797,566,0.459610,0.082413,0.022026,False
gc1s,without_bbg,precious,3,random_forest,797,566,0.459748,0.064544,0.017250,False
gc1s,without_bbg,precious,3,lightgbm,797,566,0.491733,0.063176,0.016884,False
gc1s,without_bbg,precious,3,xgboost,797,566,0.496394,0.080984,0.021644,False
gc1s,without_bbg,precious,3,multitask_nn,797,566,0.454164,0.085174,0.022764,False
gc1s,without_bbg,metals_all,4,elasticnet_logistic,1174,566,0.446098,0.071797,0.019189,False
gc1s,without_bbg,metals_all,4,random_forest,1174,566,0.511714,0.063046,0.016850,False
gc1s,without_bbg,metals_all,4,lightgbm,1174,566,0.540800,0.063430,0.016952,True
gc1s,without_bbg,metals_all,4,xgboost,1174,566,0.523751,0.087104,0.023279,False
gc1s,without_bbg,metals_all,4,multitask_nn,1174,566,0.526735,0.079713,0.021304,False
si1s,without_bbg,si1s,1,elasticnet_logistic,340,1584,0.488480,0.052618,0.014063,False
si1s,without_bbg,si1s,1,random_forest,340,1584,0.500508,0.041869,0.011190,True
si1s,without_bbg,si1s,1,lightgbm,340,1584,0.501903,0.053230,0.014226,False
si1s,without_bbg,si1s,1,xgboost,340,1584,0.504989,0.048966,0.013087,False
si1s,without_bbg,precious,3,elasticnet_logistic,797,1578,0.466992,0.048219,0.012887,False
si1s,without_bbg,precious,3,random_forest,797,1578,0.471158,0.035654,0.009529,False
si1s,without_bbg,precious,3,lightgbm,797,1578,0.472534,0.040264,0.010761,False
si1s,without_bbg,precious,3,xgboost,797,1578,0.481066,0.042701,0.011412,False
si1s,without_bbg,precious,3,multitask_nn,797,1578,0.495392,0.046997,0.012560,False
si1s,without_bbg,metals_all,4,elasticnet_logistic,1174,1581,0.448637,0.043506,0.011627,False
si1s,without_bbg,metals_all,4,random_forest,1174,1581,0.477003,0.048036,0.012838,False
si1s,without_bbg,metals_all,4,lightgbm,1174,1581,0.474372,0.059677,0.015949,False
si1s,without_bbg,metals_all,4,xgboost,1174,1581,0.471682,0.056120,0.014999,False
si1s,without_bbg,metals_all,4,multitask_nn,1174,1581,0.492514,0.045427,0.012141,False
pl1s,without_bbg,pl1s,1,elasticnet_logistic,339,1580,0.540425,0.050377,0.013464,False
pl1s,without_bbg,pl1s,1,random_forest,339,1580,0.517499,0.054885,0.014669,False
pl1s,without_bbg,pl1s,1,lightgbm,339,1580,0.557651,0.053294,0.014243,True
pl1s,without_bbg,pl1s,1,xgboost,339,1580,0.546598,0.063057,0.016853,False
pl1s,without_bbg,precious,3,elasticnet_logistic,797,1572,0.529398,0.049023,0.013102,False
pl1s,without_bbg,precious,3,random_forest,797,1572,0.520151,0.060914,0.016280,False
pl1s,without_bbg,precious,3,lightgbm,797,1572,0.534256,0.056153,0.015008,False
pl1s,without_bbg,precious,3,xgboost,797,1572,0.534725,0.062673,0.016750,False
pl1s,without_bbg,precious,3,multitask_nn,797,1572,0.500984,0.053161,0.014208,False
pl1s,without_bbg,metals_all,4,elasticnet_logistic,1174,1576,0.534991,0.054298,0.014512,False
pl1s,without_bbg,metals_all,4,random_forest,1174,1576,0.515078,0.044627,0.011927,False
pl1s,without_bbg,metals_all,4,lightgbm,1174,1576,0.547075,0.043953,0.011747,False
pl1s,without_bbg,metals_all,4,xgboost,1174,1576,0.547088,0.049676,0.013277,False
pl1s,without_bbg,metals_all,4,multitask_nn,1174,1576,0.512125,0.047016,0.012565,False
hg1s,without_bbg,hg1s,1,elasticnet_logistic,377,1756,0.495436,0.068932,0.018423,False
hg1s,without_bbg,hg1s,1,random_forest,377,1756,0.490510,0.078232,0.020908,False
hg1s,without_bbg,hg1s,1,lightgbm,377,1756,0.499628,0.060427,0.016150,False
hg1s,without_bbg,hg1s,1,xgboost,377,1756,0.488380,0.069726,0.018635,False
hg1s,without_bbg,metals_all,4,elasticnet_logistic,1174,1753,0.525124,0.055264,0.014770,True
hg1s,without_bbg,metals_all,4,random_forest,1174,1753,0.504014,0.060253,0.016103,False
hg1s,without_bbg,metals_all,4,lightgbm,1174,1753,0.510213,0.062905,0.016812,False
hg1s,without_bbg,metals_all,4,xgboost,1174,1753,0.500378,0.053716,0.014356,False
hg1s,without_bbg,metals_all,4,multitask_nn,1174,1753,0.514090,0.063778,0.017045,False
es1s,simulated_missingness,es1s,1,elasticnet_logistic,345,1608,0.538402,0.048059,0.012844,False
es1s,simulated_missingness,es1s,1,random_forest,345,1608,0.520014,0.052833,0.014120,False
es1s,simulated_missingness,es1s,1,lightgbm,345,1608,0.507539,0.034137,0.009123,False
es1s,simulated_missingness,es1s,1,xgboost,345,1608,0.507652,0.050278,0.013437,False
es1s,simulated_missingness,equity_all,3,elasticnet_logistic,1083,1612,0.538545,0.051895,0.013870,False
es1s,simulated_missingness,equity_all,3,random_forest,1083,1612,0.554740,0.064822,0.017324,True
es1s,simulated_missingness,equity_all,3,lightgbm,1083,1612,0.530337,0.057856,0.015463,False
es1s,simulated_missingness,equity_all,3,xgboost,1083,1612,0.523172,0.073988,0.019774,False
es1s,simulated_missingness,equity_all,3,multitask_nn,1083,1612,0.556907,0.056127,0.015001,False
nq1s,simulated_missingness,nq1s,1,elasticnet_logistic,357,1664,0.520329,0.046556,0.012443,False
nq1s,simulated_missingness,nq1s,1,random_forest,357,1664,0.553255,0.050826,0.013584,True
nq1s,simulated_missingness,nq1s,1,lightgbm,357,1664,0.541853,0.037596,0.010048,False
nq1s,simulated_missingness,nq1s,1,xgboost,357,1664,0.557356,0.041822,0.011177,False
nq1s,simulated_missingness,equity_all,3,elasticnet_logistic,1083,1661,0.531192,0.049980,0.013358,False
nq1s,simulated_missingness,equity_all,3,random_forest,1083,1661,0.563001,0.041174,0.011004,False
