date,year,holiday_name,holiday_type,venue_scope,venues_closed,observed_scope,n_missing,n_active,affected_instruments
2010-12-24,2010,Christmas Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,global,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2011-01-17,2011,Martin Luther King Jr. Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,8,11,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2011-04-22,2011,Good Friday,recurring,global,NYMEX/COMEX+CME_EQ+EUREX,global,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2011-04-25,2011,Easter Monday (Eurex),recurring,eurex,EUREX,exchange_specific,1,11,fesx1s
2011-05-30,2011,Memorial Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,8,11,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2011-07-04,2011,Independence Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,8,11,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2011-09-05,2011,Labor Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,8,11,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2011-11-24,2011,Thanksgiving Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,8,11,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2011-12-26,2011,Christmas Day,recurring,global,NYMEX/COMEX+CME_EQ+EUREX,global,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2012-01-02,2012,New Year's Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2012-01-16,2012,Martin Luther King Jr. Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,8,11,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2012-02-20,2012,Presidents' Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,8,11,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2012-04-06,2012,Good Friday,recurring,global,NYMEX/COMEX+CME_EQ+EUREX,mixed,9,11,"cl1s,fesx1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2012-04-09,2012,Easter Monday (Eurex),recurring,eurex,EUREX,exchange_specific,1,11,fesx1s
2012-05-01,2012,Labour Day (Eurex),recurring,eurex,EUREX,exchange_specific,1,11,fesx1s
2012-05-28,2012,Memorial Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,8,11,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2012-07-04,2012,Independence Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,8,11,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2012-09-03,2012,Labor Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,8,11,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2012-11-22,2012,Thanksgiving Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,8,11,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
