date,category,scope,venue_group,label,n_missing,n_active,affected_instruments
1995-11-24,early_close,global,ALL,Day after Thanksgiving (early close),8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1995-12-25,full_holiday,global,ALL,Christmas Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1996-01-01,full_holiday,global,ALL,New Year's Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1996-01-08,glitch,exchange_specific,US_FUTURES,,1,8,ng1s
1996-02-19,full_holiday,global,ALL,Presidents' Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1996-04-05,full_holiday,global,ALL,Good Friday,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1996-05-27,full_holiday,global,ALL,Memorial Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1996-07-04,full_holiday,global,ALL,Independence Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1996-07-05,early_close,global,ALL,July 5 (Independence Day Friday bridge),8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1996-09-02,full_holiday,global,ALL,Labor Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1996-11-28,full_holiday,global,ALL,Thanksgiving Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1996-11-29,early_close,global,ALL,Day after Thanksgiving (early close),8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1996-12-25,full_holiday,global,ALL,Christmas Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1997-01-01,full_holiday,global,ALL,New Year's Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1997-02-17,full_holiday,global,ALL,Presidents' Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1997-03-28,full_holiday,global,ALL,Good Friday,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1997-05-26,full_holiday,global,ALL,Memorial Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1997-07-04,full_holiday,global,ALL,Independence Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1997-09-01,full_holiday,global,ALL,Labor Day,8,8,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1997-11-27,full_holiday,exchange_specific,US_FUTURES,Thanksgiving Day,8,9,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
1997-11-28,early_close,exchange_specific,US_FUTURES,Day after Thanksgiving (early close),8,9,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
