date,instrument,weight
2022-04-01,ho1s,0.0000000000
2022-04-01,ng1s,0.0000000000
2022-04-01,nq1s,0.3442507816
2022-04-01,pl1s,0.0000000000
2022-04-01,rb1s,0.0000000000
2022-04-01,si1s,0.0000000000
2022-04-04,cl1s,0.0000000000
2022-04-04,es1s,0.0000000000
2022-04-04,fesx1s,-0.3488752988
2022-04-04,gc1s,0.0000000000
2022-04-04,hg1s,0.0000000000
2022-04-04,ho1s,0.0000000000
2022-04-04,ng1s,0.0000000000
2022-04-04,nq1s,0.3439916914
2022-04-04,pl1s,0.3318538477
2022-04-04,rb1s,0.0000000000
2022-04-04,si1s,0.0000000000
2022-04-05,cl1s,0.0000000000
2022-04-05,es1s,0.0000000000
2022-04-05,fesx1s,0.3521855071
2022-04-05,gc1s,0.0000000000
2022-04-05,hg1s,0.0000000000
2022-04-05,ho1s,0.0000000000
2022-04-05,ng1s,0.0000000000
2022-04-05,nq1s,0.3408213494
2022-04-05,pl1s,0.3332093258
2022-04-05,rb1s,0.0000000000
2022-04-05,si1s,0.0000000000
2022-04-06,cl1s,0.0000000000
2022-04-06,es1s,0.0000000000
2022-04-06,fesx1s,0.3493550081
2022-04-06,gc1s,0.0000000000
2022-04-06,hg1s,0.0000000000
2022-04-06,ho1s,0.0000000000
2022-04-06,ng1s,0.0000000000
2022-04-06,nq1s,0.3386632877
2022-04-06,pl1s,0.3335082624
2022-04-06,rb1s,0.0000000000
2022-04-06,si1s,0.0000000000
2022-04-07,cl1s,0.0000000000
2022-04-07,es1s,0.0000000000
2022-04-07,fesx1s,0.3547855967
2022-04-07,gc1s,0.0000000000
2022-04-07,hg1s,0.0000000000
2022-04-07,ho1s,0.0000000000
2022-04-07,ng1s,0.0000000000
2022-04-07,nq1s,0.3442696030
2022-04-07,pl1s,0.3382661899
2022-04-07,rb1s,0.0000000000
2022-04-07,si1s,0.0000000000
2022-04-08,cl1s,0.0000000000
2022-04-08,es1s,0.0000000000
2022-04-08,fesx1s,0.3562081404
2022-04-08,gc1s,0.0000000000
2022-04-08,hg1s,0.0000000000
2022-04-08,ho1s,0.0000000000
2022-04-08,ng1s,0.0000000000
2022-04-08,nq1s,0.3466946319
2022-04-08,pl1s,0.3376222374
2022-04-08,rb1s,0.0000000000
2022-04-08,si1s,0.0000000000
2022-04-11,cl1s,0.0000000000
2022-04-11,es1s,0.0000000000
2022-04-11,fesx1s,0.3618981540
2022-04-11,gc1s,0.0000000000
2022-04-11,hg1s,0.0000000000
2022-04-11,ho1s,0.0000000000
2022-04-11,ng1s,0.0000000000
2022-04-11,nq1s,0.3442661125
2022-04-11,pl1s,-0.3430802343
2022-04-11,rb1s,0.0000000000
2022-04-11,si1s,0.0000000000
2022-04-12,cl1s,0.0000000000
2022-04-12,es1s,0.0000000000
2022-04-12,fesx1s,0.3679656294
2022-04-12,gc1s,0.0000000000
2022-04-12,hg1s,0.0000000000
2022-04-12,ho1s,0.0000000000
2022-04-12,ng1s,0.0000000000
2022-04-12,nq1s,0.3499413824
2022-04-12,pl1s,-0.3485593185
2022-04-12,rb1s,0.0000000000
2022-04-12,si1s,0.0000000000
2022-04-13,cl1s,-0.0647554152
2022-04-13,es1s,0.0000000000
2022-04-13,fesx1s,0.3741024282
2022-04-13,gc1s,0.0000000000
2022-04-13,hg1s,0.0000000000
2022-04-13,ho1s,0.0000000000
2022-04-13,ng1s,0.0000000000
2022-04-13,nq1s,-0.3483399558
2022-04-13,pl1s,-0.3483523482
2022-04-13,rb1s,0.0000000000
2022-04-13,si1s,0.0000000000
2022-04-14,cl1s,-0.0530853895
2022-04-14,es1s,0.0000000000
2022-04-14,fesx1s,0.3785165547
2022-04-14,gc1s,0.0000000000
2022-04-14,hg1s,0.0000000000
2022-04-14,ho1s,0.0000000000
2022-04-14,ng1s,0.0000000000
2022-04-14,nq1s,-0.3457546460
2022-04-14,pl1s,0.3536887678
2022-04-14,rb1s,0.0000000000
2022-04-14,si1s,0.0000000000
2022-04-18,cl1s,0.0000000000
2022-04-18,es1s,0.0000000000
2022-04-18,fesx1s,0.0000000000
2022-04-18,gc1s,0.0000000000
2022-04-18,hg1s,0.0000000000
2022-04-18,ho1s,0.0000000000
2022-04-18,ng1s,0.0000000000
2022-04-18,nq1s,-0.3514621332
2022-04-18,pl1s,0.3473845734
2022-04-18,rb1s,0.0000000000
2022-04-18,si1s,0.0000000000
2022-04-19,cl1s,0.0000000000
2022-04-19,es1s,0.0000000000
2022-04-19,fesx1s,-0.3844953015
2022-04-19,gc1s,0.0000000000
2022-04-19,hg1s,0.0000000000
2022-04-19,ho1s,0.0000000000
2022-04-19,ng1s,0.0000000000
2022-04-19,nq1s,-0.3480788526
2022-04-19,pl1s,0.0000000000
2022-04-19,rb1s,0.0000000000
2022-04-19,si1s,0.0000000000
2022-04-20,cl1s,0.0000000000
2022-04-20,es1s,0.0000000000
2022-04-20,fesx1s,-0.3841778995
2022-04-20,gc1s,0.0000000000
2022-04-20,hg1s,0.0000000000
2022-04-20,ho1s,0.0000000000
2022-04-20,ng1s,0.0000000000
2022-04-20,nq1s,-0.3504158045
2022-04-20,pl1s,0.3427707282
2022-04-20,rb1s,0.0000000000
2022-04-20,si1s,0.0000000000
2022-04-21,cl1s,0.0000000000
2022-04-21,es1s,0.0000000000
2022-04-21,fesx1s,-0.3883225394
2022-04-21,gc1s,0.0000000000
2022-04-21,hg1s,0.0000000000
2022-04-21,ho1s,0.0000000000
2022-04-21,ng1s,0.0000000000
2022-04-21,nq1s,-0.3502606561
2022-04-21,pl1s,0.3429084657
2022-04-21,rb1s,0.0000000000
2022-04-21,si1s,0.0000000000
2022-04-22,cl1s,0.0000000000
2022-04-22,es1s,0.0000000000
2022-04-22,fesx1s,-0.3818030295
2022-04-22,gc1s,0.0000000000
2022-04-22,hg1s,0.0000000000
2022-04-22,ho1s,0.0000000000
2022-04-22,ng1s,0.0000000000
2022-04-22,nq1s,0.3449392316
2022-04-22,pl1s,0.3238599347
2022-04-22,rb1s,0.0000000000
2022-04-22,si1s,0.0000000000
2022-04-25,cl1s,0.0000000000
2022-04-25,es1s,0.0000000000
2022-04-25,fesx1s,0.3777992772
2022-04-25,gc1s,0.6194041245
2022-04-25,hg1s,0.0000000000
2022-04-25,ho1s,0.0000000000
2022-04-25,ng1s,0.0000000000
2022-04-25,nq1s,-0.3464777643
2022-04-25,pl1s,0.0000000000
2022-04-25,rb1s,0.0000000000
2022-04-25,si1s,0.0000000000
2022-04-26,cl1s,0.0000000000
2022-04-26,es1s,0.0000000000
2022-04-26,fesx1s,0.3832115435
2022-04-26,gc1s,0.0000000000
2022-04-26,hg1s,0.0000000000
2022-04-26,ho1s,0.0000000000
2022-04-26,ng1s,0.0000000000
2022-04-26,nq1s,0.3311070587
2022-04-26,pl1s,0.0000000000
2022-04-26,rb1s,0.0000000000
2022-04-26,si1s,0.0000000000
2022-04-27,cl1s,0.0687920223
2022-04-27,es1s,0.0000000000
2022-04-27,fesx1s,0.3895509376
2022-04-27,gc1s,0.6321530153
2022-04-27,hg1s,0.0000000000
2022-04-27,ho1s,0.0000000000
2022-04-27,ng1s,0.0000000000
2022-04-27,nq1s,0.3365629344
2022-04-27,pl1s,0.3321846288
2022-04-27,rb1s,0.0000000000
2022-04-27,si1s,0.0000000000
2022-04-28,cl1s,0.0659851024
2022-04-28,es1s,0.0000000000
2022-04-28,fesx1s,-0.3909411817
2022-04-28,gc1s,0.6424054979
2022-04-28,hg1s,0.0000000000
2022-04-28,ho1s,0.0000000000
2022-04-28,ng1s,0.0000000000
2022-04-28,nq1s,-0.3229339500
2022-04-28,pl1s,0.3375412427
2022-04-28,rb1s,0.0000000000
2022-04-28,si1s,0.0000000000
2022-04-29,cl1s,0.0786398519
2022-04-29,es1s,0.0000000000
2022-04-29,fesx1s,0.3956455687
2022-04-29,gc1s,0.0000000000
2022-04-29,hg1s,0.0000000000
2022-04-29,ho1s,0.0000000000
2022-04-29,ng1s,0.0000000000
2022-04-29,nq1s,0.3048253471
2022-04-29,pl1s,-0.3266383179
2022-04-29,rb1s,0.0000000000
2022-04-29,si1s,0.0000000000
2022-05-02,cl1s,0.0740449912
2022-05-02,es1s,0.0000000000
2022-05-02,fesx1s,0.3944482098
2022-05-02,gc1s,0.5914641903
2022-05-02,hg1s,0.0000000000
2022-05-02,ho1s,0.0000000000
2022-05-02,ng1s,0.0000000000
2022-05-02,nq1s,-0.3052449249
2022-05-02,pl1s,-0.3317216504
2022-05-02,rb1s,0.0000000000
2022-05-02,si1s,0.0000000000
2022-05-03,cl1s,0.0774305985
2022-05-03,es1s,0.0000000000
2022-05-03,fesx1s,0.3974439774
2022-05-03,gc1s,0.0000000000
2022-05-03,hg1s,0.0000000000
2022-05-03,ho1s,0.0000000000
2022-05-03,ng1s,0.0000000000
2022-05-03,nq1s,-0.3102052165
2022-05-03,pl1s,0.0000000000
2022-05-03,rb1s,0.0000000000
2022-05-03,si1s,0.0000000000
2022-05-04,cl1s,0.0528804067
2022-05-04,es1s,0.0000000000
2022-05-04,fesx1s,-0.4031688480
2022-05-04,gc1s,0.0000000000
2022-05-04,hg1s,0.0000000000
2022-05-04,ho1s,0.0000000000
2022-05-04,ng1s,-0.0012082764
2022-05-04,nq1s,-0.3008247524
2022-05-04,pl1s,0.0000000000
2022-05-04,rb1s,0.0000000000
2022-05-04,si1s,0.0000000000
2022-05-05,cl1s,0.0619819951
2022-05-05,es1s,0.0000000000
2022-05-05,fesx1s,-0.4084069323
2022-05-05,gc1s,0.0000000000
2022-05-05,hg1s,0.0000000000
2022-05-05,ho1s,0.0000000000
2022-05-05,ng1s,-0.0011317824
2022-05-05,nq1s,-0.2818276903
2022-05-05,pl1s,0.0000000000
2022-05-05,rb1s,0.0000000000
2022-05-05,si1s,0.0000000000
2022-05-06,cl1s,0.0630771555
2022-05-06,es1s,0.0000000000
2022-05-06,fesx1s,-0.4128540419
2022-05-06,gc1s,0.0000000000
2022-05-06,hg1s,0.0000000000
2022-05-06,ho1s,0.0000000000
2022-05-06,ng1s,-0.0010443187
2022-05-06,nq1s,-0.2857222059
2022-05-06,pl1s,0.3297960382
2022-05-06,rb1s,0.0000000000
2022-05-06,si1s,0.0000000000
2022-05-09,cl1s,0.0664101368
2022-05-09,es1s,0.0000000000
2022-05-09,fesx1s,0.3976453744
2022-05-09,gc1s,0.6221855569
2022-05-09,hg1s,0.0000000000
2022-05-09,ho1s,0.0000000000
2022-05-09,ng1s,0.0000000000
2022-05-09,nq1s,-0.2783757110
2022-05-09,pl1s,0.3310409044
2022-05-09,rb1s,0.0000000000
2022-05-09,si1s,0.0000000000
2022-05-10,cl1s,0.0786577574
2022-05-10,es1s,0.0000000000
2022-05-10,fesx1s,0.4016460407
2022-05-10,gc1s,0.6255079351
2022-05-10,hg1s,0.0000000000
2022-05-10,ho1s,0.0000000000
2022-05-10,ng1s,0.0000000000
2022-05-10,nq1s,0.2804870425
2022-05-10,pl1s,0.3348578357
2022-05-10,rb1s,0.0000000000
2022-05-10,si1s,0.0000000000
2022-05-11,cl1s,0.0705938106
2022-05-11,es1s,0.0000000000
2022-05-11,fesx1s,0.3909060224
2022-05-11,gc1s,0.0000000000
2022-05-11,hg1s,0.0000000000
2022-05-11,ho1s,0.0000000000
2022-05-11,ng1s,0.0000000000
2022-05-11,nq1s,0.2788023105
2022-05-11,pl1s,0.3128887830
2022-05-11,rb1s,0.0000000000
2022-05-11,si1s,0.0000000000
2022-05-12,cl1s,0.0736954393
2022-05-12,es1s,0.0000000000
2022-05-12,fesx1s,-0.3971144948
2022-05-12,gc1s,0.6188412425
2022-05-12,hg1s,0.0000000000
2022-05-12,ho1s,0.0000000000
2022-05-12,ng1s,0.0000000000
2022-05-12,nq1s,0.2834077901
2022-05-12,pl1s,0.0000000000
2022-05-12,rb1s,0.0000000000
2022-05-12,si1s,0.0000000000
2022-05-13,cl1s,0.0709660619
2022-05-13,es1s,0.0000000000
2022-05-13,fesx1s,0.3888878126
2022-05-13,gc1s,0.6237256723
2022-05-13,hg1s,0.0000000000
2022-05-13,ho1s,0.0000000000
2022-05-13,ng1s,0.0000000000
2022-05-13,nq1s,0.2740310209
2022-05-13,pl1s,0.2847339894
2022-05-13,rb1s,0.0000000000
2022-05-13,si1s,0.0000000000
2022-05-16,cl1s,0.0653045379
2022-05-16,es1s,0.0000000000
2022-05-16,fesx1s,-0.3948269812
2022-05-16,gc1s,0.0000000000
2022-05-16,hg1s,0.0000000000
2022-05-16,ho1s,0.0000000000
2022-05-16,ng1s,0.0000000000
2022-05-16,nq1s,0.2781386705
2022-05-16,pl1s,0.2893699189
2022-05-16,rb1s,0.0000000000
2022-05-16,si1s,0.0000000000
2022-05-17,cl1s,0.0635120451
2022-05-17,es1s,0.0000000000
2022-05-17,fesx1s,0.3938690823
2022-05-17,gc1s,0.0000000000
2022-05-17,hg1s,0.0000000000
2022-05-17,ho1s,0.0000000000
2022-05-17,ng1s,0.0000000000
2022-05-17,nq1s,0.2756561011
2022-05-17,pl1s,0.0000000000
2022-05-17,rb1s,0.0000000000
2022-05-17,si1s,0.0000000000
2022-05-18,cl1s,0.0663927480
2022-05-18,es1s,0.0000000000
2022-05-18,fesx1s,-0.3954978033
2022-05-18,gc1s,0.0000000000
2022-05-18,hg1s,0.0000000000
2022-05-18,ho1s,0.0000000000
2022-05-18,ng1s,-0.0009973402
2022-05-18,nq1s,0.2623603367
2022-05-18,pl1s,0.0000000000
2022-05-18,rb1s,0.0000000000
2022-05-18,si1s,0.0000000000
2022-05-19,cl1s,0.0446891762
2022-05-19,es1s,0.0000000000
2022-05-19,fesx1s,-0.3978158972
2022-05-19,gc1s,0.0000000000
2022-05-19,hg1s,0.0000000000
2022-05-19,ho1s,0.0000000000
2022-05-19,ng1s,0.0000000000
2022-05-19,nq1s,0.2667685621
2022-05-19,pl1s,0.0000000000
2022-05-19,rb1s,0.0000000000
2022-05-19,si1s,0.0000000000
2022-05-20,cl1s,0.0622278485
2022-05-20,es1s,0.0000000000
2022-05-20,fesx1s,-0.4029482315
2022-05-20,gc1s,0.0000000000
2022-05-20,hg1s,0.0000000000
2022-05-20,ho1s,0.0000000000
2022-05-20,ng1s,0.0000000000
2022-05-20,nq1s,0.2712411138
2022-05-20,pl1s,0.2890090125
2022-05-20,rb1s,0.0000000000
2022-05-20,si1s,0.0000000000
2022-05-23,cl1s,0.0728001027
2022-05-23,es1s,0.0000000000
2022-05-23,fesx1s,-0.4037695482
2022-05-23,gc1s,0.0000000000
2022-05-23,hg1s,0.0000000000
2022-05-23,ho1s,0.0000000000
2022-05-23,ng1s,0.0000000000
2022-05-23,nq1s,0.2724148769
2022-05-23,pl1s,0.0000000000
2022-05-23,rb1s,0.0000000000
2022-05-23,si1s,0.0000000000
2022-05-24,cl1s,0.0701640118
