date,y_true,p_hat_oof,instrument,ret,side
2020-11-09,1,0.566322676995027,cl1s,0.0265574587975832,1.0
2020-11-10,1,0.5787056255853866,cl1s,0.0021760155735721,1.0
2020-11-11,0,0.5788144190727839,cl1s,-0.0079613996401601,1.0
2020-11-12,0,0.5945095769798157,cl1s,-0.0240758749201873,1.0
2020-11-13,1,0.5990337607566134,cl1s,0.0301520056355155,1.0
2020-11-16,1,0.5880183042216273,cl1s,0.001924464491023,1.0
2020-11-17,1,0.5774580685418821,cl1s,0.0086434574326765,1.0
2020-11-18,0,0.5746204924550585,cl1s,-0.0026184241309358,1.0
2020-11-19,1,0.5761672830397379,cl1s,0.0124105015390167,1.0
2020-11-20,1,0.583980635316273,cl1s,0.0150872225436831,1.0
2020-11-23,1,0.5761487317911727,cl1s,0.0429633075963762,1.0
2020-11-24,1,0.5772265261066915,cl1s,0.0178134044225835,1.0
2020-12-01,1,0.5330481419235418,cl1s,0.0163860824259736,1.0
2020-12-02,1,0.5289831743905493,cl1s,0.0079505300819682,1.0
2020-12-03,1,0.5223065310251563,cl1s,0.0135845751398191,1.0
2020-12-04,0,0.5209047317313753,cl1s,-0.0108084740290026,1.0
2020-12-07,0,0.5363957278855791,cl1s,-0.0034965030121175,1.0
2020-12-08,0,0.5611336728487288,cl1s,-0.0017543864806912,1.0
2020-12-09,1,0.5573789547388899,cl1s,0.0276801411395417,1.0
2020-12-11,1,0.5529942474233391,cl1s,0.0090186812291239,1.0
2021-01-04,1,0.5486694267328807,cl1s,0.0485090301142696,1.0
2021-01-05,1,0.5594632495258101,cl1s,0.0140196273698176,1.0
2021-01-06,1,0.547166923940028,cl1s,0.0039502273040916,1.0
2021-01-07,1,0.5765296594567882,cl1s,0.0277395234227524,1.0
2021-01-08,1,0.5430503013488213,cl1s,0.0001914246034888,1.0
2021-01-11,1,0.5887157980533756,cl1s,0.0183732055802547,1.0
2021-01-15,1,0.6102323100906228,cl1s,0.0106829456162227,1.0
2021-01-19,1,0.5588536860520581,cl1s,0.0062287657553052,1.0
2021-01-20,0,0.5912266067768484,cl1s,-0.0033764774262792,1.0
2021-01-21,0,0.5334656649902716,cl1s,-0.0161867119388801,1.0
2021-02-04,0,0.5678629340736026,cl1s,-0.0110261426520468,-1.0
2021-02-05,0,0.5976462356835099,cl1s,-0.0197009671641232,-1.0
2021-02-08,0,0.5428330938713379,cl1s,-0.0067276177688342,-1.0
2021-02-09,0,0.5617928301717174,cl1s,-0.005483207766417,-1.0
2021-02-10,1,0.5281241606522754,cl1s,0.0074982956675966,-1.0
2021-02-11,0,0.5074454568393314,cl1s,-0.0211195054617725,-1.0
2021-02-12,0,0.5597962480796722,cl1s,-0.0097528162649025,-1.0
2021-02-16,0,0.5461859113947461,cl1s,-0.0179760323189588,-1.0
2021-02-17,1,0.5921327891671979,cl1s,0.0103008506222249,-1.0
2021-02-18,1,0.5549511480927503,cl1s,0.0209813315678902,-1.0
2021-02-19,0,0.5603694636388863,cl1s,-0.0411744853217099,-1.0
2021-02-22,1,0.568101668936754,cl1s,0.0004862235472663,-1.0
2021-02-23,0,0.5580223008804467,cl1s,-0.0251337769725106,-1.0
2021-02-24,0,0.5456106576738202,cl1s,-0.0049035112964077,-1.0
2021-02-25,1,0.5612714509068745,cl1s,0.0319534080881559,-1.0
2021-03-05,1,0.6189257288104985,cl1s,0.0157361175318804,-1.0
2021-03-08,1,0.613254395878486,cl1s,0.0159877018878523,-1.0
2021-04-15,0,0.585638087851083,cl1s,-0.0050385765880957,1.0
2021-04-16,1,0.5860132531424188,cl1s,0.0037980690280543,1.0
2021-04-19,0,0.5586876071186752,cl1s,-0.0119817122310532,1.0
2021-04-20,0,0.5869033422153761,cl1s,-0.0210627092405844,1.0
2021-04-21,1,0.576136572505107,cl1s,0.0013039937610226,1.0
2021-04-22,1,0.5889895617263635,cl1s,0.0115578704654537,1.0
2021-04-23,0,0.5652299591935469,cl1s,-0.003701319345625,1.0
2021-04-26,1,0.6002175570215936,cl1s,0.0166370534937103,1.0
2021-04-27,1,0.5784199589523997,cl1s,0.0146170957477642,1.0
2021-04-28,1,0.5726676134981153,cl1s,0.0180081426619855,1.0
2021-04-29,0,0.5566981519039181,cl1s,-0.0219966158834493,1.0
2021-04-30,1,0.6274404838496889,cl1s,0.014312677077606,1.0
2021-05-03,1,0.5979990361876849,cl1s,0.018607535731864,1.0
2021-05-04,0,0.6130883246022194,cl1s,-0.0009133808307781,1.0
2021-05-05,0,0.6168591126352716,cl1s,-0.0140179796795559,1.0
2021-05-12,0,0.5893404263357797,cl1s,-0.034200968366701,1.0
2021-05-14,1,0.6057486721396304,cl1s,0.0140758874654205,1.0
2021-05-17,0,0.5927487356899227,cl1s,-0.0117682558294903,1.0
2021-05-19,0,0.5793455735395676,cl1s,-0.0222573004152087,1.0
2021-05-20,1,0.5676134403967967,cl1s,0.0264772357437024,1.0
2021-05-21,1,0.5856703861140458,cl1s,0.0388486944663832,1.0
2021-05-24,1,0.5913795473477739,cl1s,0.0003028010018066,1.0
2021-05-25,1,0.5968855263128571,cl1s,0.0021189648597681,1.0
2021-05-26,1,0.5888103359123621,cl1s,0.0096662133809788,1.0
2021-05-27,0,0.6033440608437709,cl1s,-0.0079281972928973,1.0
2021-05-28,1,0.598798628363294,cl1s,0.0211097710030108,1.0
2021-06-01,1,0.6093895050620806,cl1s,0.016391021752605,1.0
2021-06-02,0,0.5937223930984056,cl1s,-0.0002905710615057,1.0
2021-06-03,1,0.6175462571216408,cl1s,0.0117715449132507,1.0
2021-06-04,0,0.6058666807324897,cl1s,-0.0056018387752001,1.0
2021-06-07,1,0.6136751141043946,cl1s,0.0118445761762644,1.0
2021-06-08,0,0.6051694078427338,cl1s,-0.0012847964719225,1.0
2021-06-09,1,0.6141869426743497,cl1s,0.0047169810897349,1.0
2021-06-10,1,0.5888059388846169,cl1s,0.0088206001106074,1.0
2021-06-15,1,0.6198990483092766,cl1s,0.0004159730221426,1.0
2021-06-16,0,0.6296369553815978,cl1s,-0.0162612923768463,1.0
2021-06-17,1,0.6599940603500138,cl1s,0.0072054254542222,1.0
2021-06-18,1,0.6466489923784379,cl1s,0.0256697993178951,1.0
2021-06-21,0,0.636733047741268,cl1s,-0.0036925600216164,1.0
2021-06-22,1,0.6407385498508933,cl1s,0.0031571719809255,1.0
2021-06-24,1,0.5797662830017352,cl1s,0.0102319236521437,1.0
2021-06-25,0,0.5650204257746099,cl1s,-0.0153950032070104,1.0
2021-06-28,1,0.5796792278679316,cl1s,0.0009600874213293,1.0
2021-06-29,1,0.6014085667911448,cl1s,0.0067141686235001,1.0
2021-06-30,1,0.5877680372973935,cl1s,0.0239553557185687,1.0
2021-07-01,0,0.60122235789471,cl1s,-0.0009304799773254,1.0
2021-07-02,0,0.5813377740220819,cl1s,-0.0238158592863966,1.0
2021-07-06,0,0.5869416645818772,cl1s,-0.0159465724539261,1.0
2021-07-07,1,0.5610185000796033,cl1s,0.0102493078592433,1.0
2021-07-08,1,0.5663114892033987,cl1s,0.0222100356745089,1.0
2021-07-09,0,0.552391135761537,cl1s,-0.0061695282619749,1.0
2021-07-12,1,0.5761648636337793,cl1s,0.0155195681359403,1.0
2021-07-13,0,0.5580946058301388,cl1s,-0.028172757082053,1.0
2021-07-14,0,0.5628956097089647,cl1s,-0.0173458153064834,1.0
2021-07-15,1,0.5616455777864882,cl1s,0.0025217149529663,1.0
2021-07-16,0,0.5911071147774434,cl1s,-0.0728060367755057,1.0
2021-07-19,1,0.5888547077831143,cl1s,0.0128108514777218,1.0
2021-07-20,1,0.5937434055639403,cl1s,0.0461309524750783,1.0
2021-07-21,1,0.5862377223930043,cl1s,0.0229018487501204,1.0
2021-07-22,1,0.5831610175916377,cl1s,0.0022250037485616,1.0
2021-07-23,0,0.557034652775152,cl1s,-0.0022200640976222,1.0
2021-07-26,0,0.5498196520185417,cl1s,-0.0036156304907042,1.0
2021-07-27,1,0.5522846538829134,cl1s,0.0103279834276104,1.0
2021-07-28,1,0.56095798115874,cl1s,0.0169912968846863,1.0
2021-07-29,1,0.5253725560290831,cl1s,0.0044824778418248,1.0
2021-07-30,0,0.5366481093123323,cl1s,-0.0363759298525849,1.0
2021-08-02,0,0.5419384497949759,cl1s,-0.0098231825768607,1.0
2021-08-03,0,0.553089437014681,cl1s,-0.0341553287392563,1.0
2021-08-04,1,0.5448798635962734,cl1s,0.0137931032279581,1.0
2021-08-05,0,0.5566531026151816,cl1s,-0.0117238385901429,1.0
2021-08-06,0,0.5764517639452532,cl1s,-0.0263620385967228,1.0
2021-08-09,1,0.5928330759668674,cl1s,0.0272262335956663,1.0
2021-08-10,1,0.5776034482717525,cl1s,0.0140576953209217,1.0
2021-08-11,0,0.5653851699797421,cl1s,-0.0023104695955514,1.0
2021-08-12,0,0.584456443833993,cl1s,-0.0094080183623662,1.0
2021-08-13,0,0.551346732928804,cl1s,-0.0168030392507561,1.0
2021-08-16,0,0.5323960531994338,cl1s,-0.0105891127862837,1.0
2021-08-17,0,0.552277012185769,cl1s,-0.0170334637677718,1.0
2021-08-18,0,0.5637495191722462,cl1s,-0.0262229718483114,1.0
2021-08-19,0,0.5709994033105701,cl1s,-0.0214173228143211,1.0
2021-08-20,1,0.5610964437779645,cl1s,0.0563244285162105,1.0
2021-08-23,1,0.5636377253641744,cl1s,0.0289457646236492,1.0
2021-08-24,1,0.5528082865118924,cl1s,0.0121409536287531,1.0
2021-08-25,0,0.5510575494208634,cl1s,-0.0137507312855644,1.0
2021-08-26,1,0.5275157146981315,cl1s,0.0195787597389951,1.0
2021-08-27,1,0.5351282284129649,cl1s,0.0068373583447565,1.0
2021-08-30,0,0.5454026438990933,cl1s,-0.0102586333237801,1.0
2021-08-31,1,0.5521508050710835,cl1s,0.0013138689264944,1.0
2021-09-01,1,0.5259041018726213,cl1s,0.0204111383797207,1.0
2021-09-02,0,0.5306900625337357,cl1s,-0.0100014286457764,1.0
2021-09-03,0,0.5438059236912649,cl1s,-0.0135661710294751,1.0
2021-09-07,1,0.5551722195464196,cl1s,0.0138990486844361,1.0
2021-09-08,0,0.5433865392565291,cl1s,-0.0167388164799765,1.0
2021-09-09,1,0.5616403306944111,cl1s,0.0231875548869113,1.0
2021-09-10,1,0.5711649327373548,cl1s,0.0104704535424642,1.0
2021-09-13,1,0.5741585390766449,cl1s,0.0001419444581514,1.0
2021-09-14,1,0.5462362416987803,cl1s,0.0305137668332968,1.0
2021-09-15,1,0.554024923191172,cl1s,0.0005530207085591,1.0
2021-09-16,0,0.5696713916555731,cl1s,-0.0075998340111588,1.0
2021-09-17,0,0.5796224227455984,cl1s,-0.02339181292415,1.0
2021-09-20,1,0.5579299131235995,cl1s,0.0049900196672396,1.0
2021-09-21,1,0.5722142801316934,cl1s,0.0246843526869073,1.0
2021-09-22,1,0.5762953585397783,cl1s,0.0148137892968542,1.0
2021-09-23,1,0.5679109278216831,cl1s,0.0092769440557802,1.0
2021-09-24,1,0.5423186417557005,cl1s,0.0198702349599162,1.0
2021-09-27,0,0.5609348698598048,cl1s,-0.0021206094863814,1.0
2021-09-28,0,0.566174019452031,cl1s,-0.00610970909186,1.0
2021-09-29,1,0.5862691555651476,cl1s,0.0026727249480957,1.0
2021-09-30,1,0.5692341457793952,cl1s,0.0113288017998127,1.0
2021-10-01,1,0.5804754817521163,cl1s,0.0229309434099935,1.0
2021-10-04,1,0.5651010617483465,cl1s,0.0168770934908057,1.0
2020-01-30,0,0.43131374850899773,es1s,-0.0199863211481985,1.0
2020-01-31,1,0.4582539720626773,es1s,0.0234181141419151,1.0
2020-02-03,1,0.435028644587676,es1s,0.0166384224305877,1.0
2020-02-04,0,0.4334764221629614,es1s,-0.0107592059406829,-1.0
2020-02-05,0,0.4328071716448266,es1s,-0.0028485757131335,1.0
2020-02-06,0,0.3916164953538292,es1s,-0.0059038935831337,1.0
2020-02-07,1,0.3823048281507766,es1s,0.00962261314257,1.0
2020-02-10,1,0.42440137766322444,es1s,0.0102147330752004,1.0
2020-02-11,0,0.381108734004168,es1s,-0.0054355919595461,1.0
2020-02-12,0,0.3699640495862916,es1s,-0.00332791007281,1.0
2020-02-13,0,0.37549620172157144,es1s,-0.0024426350860584,1.0
2020-02-14,0,0.36907152090773326,es1s,-0.0034753031644063,1.0
2020-02-18,0,0.37344691728032264,es1s,-0.0089040587676889,1.0
2020-02-19,0,0.3599120447252596,es1s,-0.0053140453168466,1.0
2020-02-20,0,0.4159333671458608,es1s,-0.0089040587676889,1.0
2020-02-21,0,0.38846687323878154,es1s,-0.0338399341162015,1.0
2020-02-24,0,0.4637461473351956,es1s,-0.0290585044549627,1.0
2020-02-25,0,0.4868404505607936,es1s,-0.0071029529122326,1.0
2020-02-26,0,0.4891710413045086,es1s,-0.0492725665158629,1.0
2020-02-27,1,0.4859385923194762,es1s,0.0365235035498785,1.0
2020-02-28,1,0.48645355757323816,es1s,0.0386309725492288,1.0
2020-03-02,0,0.48858844847626487,es1s,-0.0221859706339256,1.0
2020-03-03,1,0.49417359679722084,es1s,0.0392892892870049,1.0
2020-03-04,1,0.46505204618200846,es1s,0.0318645156099791,-1.0
2020-03-05,1,0.46284460126001087,es1s,0.0887912452319034,-1.0
2020-03-06,1,0.46306788807315424,es1s,0.0729588394056868,-1.0
2020-03-09,1,0.4821619908228326,es1s,0.0429442270941033,1.0
2020-03-10,0,0.472424410224758,es1s,-0.0437930733660193,1.0
2020-03-11,0,0.47815659249198667,es1s,-0.0989873186767356,1.0
2020-03-12,1,0.478206720679187,es1s,0.0919400567039978,1.0
2020-03-13,0,0.46617716699282863,es1s,-0.1037648367953739,1.0
2020-03-16,0,0.5000997444760908,es1s,-0.0485396528406828,1.0
2020-03-17,0,0.5006069464445181,es1s,-0.0337960168959792,1.0
2020-03-18,0,0.5014370480737564,es1s,-0.0470539246299928,1.0
2020-03-19,0,0.4742620662873918,es1s,-0.0420678107967247,1.0
2020-03-20,0,0.47998293724122965,es1s,-0.029713786323477,1.0
2020-03-23,1,0.4819054407335959,es1s,0.0979509119550832,1.0
2020-03-24,1,0.5059283626310039,es1s,0.069729286299319,1.0
2020-03-26,1,0.49040844680252765,es1s,0.061349693248936,-1.0
2020-03-30,1,0.4800892775860122,es1s,0.0625179511711767,-1.0
2020-04-01,1,0.5006616572122952,es1s,0.0802696078433,1.0
2020-04-02,1,0.5050164120254012,es1s,0.0868269421841518,1.0
2020-04-03,1,0.5021356285966609,es1s,0.0651495317709367,1.0
2020-04-06,0,0.48912818159377425,es1s,-0.0342219701267088,-1.0
2020-04-07,0,0.4881095295021279,es1s,-0.0352006056023013,-1.0
2020-04-08,0,0.47451985819560216,es1s,-0.0163619744019547,-1.0
2020-04-09,0,0.4685578334069847,es1s,-0.0227538447728961,-1.0
2020-04-14,1,0.4619801992967242,es1s,0.0390432641585419,-1.0
2020-04-15,0,0.4708259809994776,es1s,-0.0342342342333963,-1.0
2020-04-16,0,0.4669020383106017,es1s,-0.0295964125573664,-1.0
2020-04-17,1,0.4651249590448245,es1s,0.0480836236930946,-1.0
2020-04-20,0,0.4766494153347775,es1s,-0.0222697309837704,-1.0
2020-04-21,1,0.4939079057715022,es1s,0.0501464128846997,1.0
2020-04-22,1,0.48315582229581605,es1s,0.0546889008389179,1.0
2020-04-23,1,0.49139287211978716,es1s,0.0317360424330044,1.0
2020-04-24,0,0.4685020409412483,es1s,-0.0139600636162318,-1.0
2020-04-29,1,0.46698212876188244,es1s,0.0405474328447562,-1.0
2020-04-30,1,0.4728064575774953,es1s,0.0278208441012243,-1.0
2020-05-01,1,0.4949594931886539,es1s,0.0378311331627809,1.0
2020-05-04,1,0.4896426054692099,es1s,0.0365454384577634,1.0
2020-05-05,0,0.46518961857686536,es1s,-0.0086591445826388,1.0
2020-05-06,1,0.4687555753573121,es1s,0.0335274395615388,1.0
2020-05-07,0,0.45435516342556986,es1s,-0.0095486111115069,1.0
2020-05-11,1,0.4092258378807285,es1s,0.0240355829251264,-1.0
2020-05-12,0,0.5383464808237894,es1s,-0.0138475021917883,1.0
