instrument,date,t1,partition,side,sigma,pt,sl,h,ret,label,touch
cl1s,2020-12-01,2020-12-02,train,1.0,0.027172531377394043,0.25,0.25,1,0.016386082425973614,1,pt
cl1s,2020-12-02,2020-12-03,train,1.0,0.02703922268592902,0.25,0.25,1,0.007950530081968221,1,pt
cl1s,2020-12-03,2020-12-04,train,1.0,0.026109730494214462,0.25,0.25,1,0.013584575139819144,1,pt
cl1s,2020-12-04,2020-12-07,train,1.0,0.025841099039012966,0.25,0.25,1,-0.010808474029002646,0,sl
cl1s,2020-12-07,2020-12-08,train,1.0,0.023290979385804315,0.25,0.25,1,-0.003496503012117569,0,vert
cl1s,2020-12-08,2020-12-09,train,1.0,0.016313437459256085,0.25,0.25,1,-0.0017543864806912612,0,vert
cl1s,2020-12-09,2020-12-10,train,1.0,0.015667810088699375,0.25,0.25,1,0.02768014113954176,1,pt
cl1s,2020-12-11,2020-12-14,train,1.0,0.016322155599704655,0.25,0.25,1,0.00901868122912397,1,pt
cl1s,2021-01-04,2021-01-05,train,1.0,0.014300671172649507,0.25,0.25,1,0.04850903011426966,1,pt
cl1s,2021-01-05,2021-01-06,train,1.0,0.017409815510931386,0.25,0.25,1,0.014019627369817655,1,pt
cl1s,2021-01-06,2021-01-07,train,1.0,0.01720464409242697,0.25,0.25,1,0.003950227304091669,1,vert
cl1s,2021-01-07,2021-01-08,train,1.0,0.017094167917650952,0.25,0.25,1,0.027739523422752432,1,pt
cl1s,2021-01-08,2021-01-11,train,1.0,0.01769622914600373,0.25,0.25,1,0.00019142460348886559,1,vert
cl1s,2021-01-11,2021-01-12,train,1.0,0.017061643553932526,0.25,0.25,1,0.018373205580254792,1,pt
cl1s,2021-01-15,2021-01-19,train,1.0,0.018432162192489603,0.25,0.25,1,0.010682945616222739,1,pt
cl1s,2021-01-19,2021-01-20,train,1.0,0.01842164678702996,0.25,0.25,1,0.006228765755305288,1,pt
cl1s,2021-01-20,2021-01-21,train,1.0,0.01827890957479551,0.25,0.25,1,-0.003376477426279223,0,vert
cl1s,2021-01-21,2021-01-22,train,1.0,0.016971341156297746,0.25,0.25,1,-0.016186711938880105,0,sl
cl1s,2021-02-04,2021-02-05,train,-1.0,0.013439762952376429,0.25,0.25,1,-0.011026142652046822,0,sl
cl1s,2021-02-05,2021-02-08,train,-1.0,0.013496863041973792,0.25,0.25,1,-0.019700967164123284,0,sl
cl1s,2021-02-08,2021-02-09,train,-1.0,0.01293131415345419,0.25,0.25,1,-0.0067276177688342376,0,sl
cl1s,2021-02-09,2021-02-10,train,-1.0,0.012881610118733063,0.25,0.25,1,-0.005483207766417086,0,sl
cl1s,2021-02-10,2021-02-11,train,-1.0,0.012529470414042232,0.25,0.25,1,0.007498295667596633,1,pt
cl1s,2021-02-11,2021-02-12,train,-1.0,0.012618736133269495,0.25,0.25,1,-0.021119505461772548,0,sl
cl1s,2021-02-12,2021-02-16,train,-1.0,0.013026844582180636,0.25,0.25,1,-0.009752816264902542,0,sl
cl1s,2021-02-16,2021-02-17,train,-1.0,0.011283454752090749,0.25,0.25,1,-0.017976032318958834,0,sl
cl1s,2021-02-17,2021-02-18,train,-1.0,0.011523946215482223,0.25,0.25,1,0.010300850622224966,1,pt
cl1s,2021-02-18,2021-02-19,train,-1.0,0.01217234573883187,0.25,0.25,1,0.020981331567890282,1,pt
cl1s,2021-02-19,2021-02-22,train,-1.0,0.013500385426169976,0.25,0.25,1,-0.041174485321709975,0,sl
cl1s,2021-02-22,2021-02-23,train,-1.0,0.014596666699441875,0.25,0.25,1,0.0004862235472663512,1,vert
cl1s,2021-02-23,2021-02-24,train,-1.0,0.014722443545369585,0.25,0.25,1,-0.025133776972510624,0,sl
cl1s,2021-02-24,2021-02-25,train,-1.0,0.014962406196929996,0.25,0.25,1,-0.004903511296407759,0,sl
cl1s,2021-02-25,2021-02-26,train,-1.0,0.014957085349007646,0.25,0.25,1,0.03195340808815594,1,pt
