date,instrument,weight
2022-03-30,cl1s,0.0
2022-03-30,es1s,0.0
2022-03-30,fesx1s,-0.03038233
2022-03-30,gc1s,0.0
2022-03-30,hg1s,0.0
2022-03-30,ho1s,0.0
2022-03-30,ng1s,0.0
2022-03-30,nq1s,0.03053479
2022-03-30,pl1s,0.0
2022-03-30,rb1s,0.0
2022-03-30,si1s,0.0
2022-03-31,cl1s,0.0
2022-03-31,es1s,0.0
2022-03-31,fesx1s,0.03074371
2022-03-31,gc1s,0.0
2022-03-31,hg1s,0.0
2022-03-31,ho1s,0.0
2022-03-31,ng1s,0.0
2022-03-31,nq1s,0.0
2022-03-31,pl1s,0.0
2022-03-31,rb1s,0.0
2022-03-31,si1s,0.0
2022-04-01,cl1s,0.0
2022-04-01,es1s,0.0
2022-04-01,fesx1s,0.03123857
2022-04-01,gc1s,0.0
2022-04-01,hg1s,0.0371265
2022-04-01,ho1s,0.0
2022-04-01,ng1s,0.0
2022-04-01,nq1s,0.0
2022-04-01,pl1s,0.0
2022-04-01,rb1s,0.0
2022-04-01,si1s,0.0
2022-04-04,cl1s,0.0
2022-04-04,es1s,0.0
2022-04-04,fesx1s,-0.03162159
2022-04-04,gc1s,0.0
2022-04-04,hg1s,0.0
2022-04-04,ho1s,0.0
2022-04-04,ng1s,0.0
2022-04-04,nq1s,0.0
2022-04-04,pl1s,0.0
2022-04-04,rb1s,0.0
2022-04-04,si1s,0.0
2022-04-05,cl1s,0.0
2022-04-05,es1s,0.0
2022-04-05,fesx1s,0.03191944
2022-04-05,gc1s,0.0
2022-04-05,hg1s,0.0
2022-04-05,ho1s,0.0
2022-04-05,ng1s,0.0
2022-04-05,nq1s,0.03095483
2022-04-05,pl1s,0.0
2022-04-05,rb1s,0.0
2022-04-05,si1s,0.0
2022-04-06,cl1s,0.0
2022-04-06,es1s,0.0
2022-04-06,fesx1s,0.03167403
2022-04-06,gc1s,0.0
2022-04-06,hg1s,0.0
2022-04-06,ho1s,0.0
2022-04-06,ng1s,0.0
2022-04-06,nq1s,0.03076401
2022-04-06,pl1s,0.0
2022-04-06,rb1s,0.0
2022-04-06,si1s,0.0
2022-04-07,cl1s,0.0
2022-04-07,es1s,0.0
2022-04-07,fesx1s,0.03216422
2022-04-07,gc1s,0.0
2022-04-07,hg1s,0.03807564
2022-04-07,ho1s,0.0
2022-04-07,ng1s,0.0
2022-04-07,nq1s,0.03127443
2022-04-07,pl1s,0.03079065
2022-04-07,rb1s,0.0
2022-04-07,si1s,0.0
2022-04-08,cl1s,0.0
2022-04-08,es1s,0.0
2022-04-08,fesx1s,0.0322982
2022-04-08,gc1s,0.0
2022-04-08,hg1s,0.03807564
2022-04-08,ho1s,0.0
2022-04-08,ng1s,0.0
2022-04-08,nq1s,0.03149228
2022-04-08,pl1s,0.03073141
2022-04-08,rb1s,0.0
2022-04-08,si1s,0.0
2022-04-11,cl1s,0.0
2022-04-11,es1s,0.0
2022-04-11,fesx1s,0.03281223
2022-04-11,gc1s,0.0
2022-04-11,hg1s,0.03819612
2022-04-11,ho1s,0.0
2022-04-11,ng1s,0.0
2022-04-11,nq1s,0.03127886
2022-04-11,pl1s,-0.03123001
2022-04-11,rb1s,0.0
2022-04-11,si1s,0.0
2022-04-12,cl1s,0.0
2022-04-12,es1s,0.0
2022-04-12,fesx1s,0.0333628
2022-04-12,gc1s,0.0
2022-04-12,hg1s,0.0
2022-04-12,ho1s,0.0
2022-04-12,ng1s,0.0
2022-04-12,nq1s,0.03179317
2022-04-12,pl1s,-0.03172666
2022-04-12,rb1s,0.0
2022-04-12,si1s,0.0
2022-04-13,cl1s,-0.01421207
2022-04-13,es1s,0.0
2022-04-13,fesx1s,0.03391835
2022-04-13,gc1s,0.0
2022-04-13,hg1s,0.0
2022-04-13,ho1s,0.0
2022-04-13,ng1s,0.0
2022-04-13,nq1s,-0.0316469
2022-04-13,pl1s,-0.03170733
2022-04-13,rb1s,0.0
2022-04-13,si1s,0.0
2022-04-14,cl1s,-0.01438843
2022-04-14,es1s,0.0
2022-04-14,fesx1s,0.03432339
2022-04-14,gc1s,0.0
2022-04-14,hg1s,0.0
2022-04-14,ho1s,0.0
2022-04-14,ng1s,0.0
2022-04-14,nq1s,-0.03141953
2022-04-14,pl1s,0.03219562
2022-04-14,rb1s,0.0
2022-04-14,si1s,0.0
2022-04-15,cl1s,-0.01438843
2022-04-15,es1s,0.0
2022-04-15,fesx1s,0.03432339
2022-04-15,gc1s,0.0
2022-04-15,hg1s,0.0
