date,instrument,f3_gmm_prob_highvol,f3_markov_prob_highvol,f3_markov_switch_prob,f3_regime_dwell
2021-07-12,nq1s,0.013241128339855836,0.004235318775026551,0.0005732125841340684,39.0
2021-07-13,nq1s,0.013012902520121014,0.003952856540906574,0.0002824622341199767,40.0
2021-07-14,nq1s,0.013572462259487921,0.0038157493237206764,0.00013710721718589777,41.0
2021-07-15,nq1s,0.019171326699985534,0.005319242441098478,0.0015034931173778018,42.0
2021-07-16,nq1s,0.021091353277981433,0.006511295806711715,0.001192053365613237,43.0
2021-07-19,nq1s,0.023295183473338588,0.0077786965659988605,0.0012674007592871454,44.0
2021-07-20,nq1s,0.025925994231684558,0.009351243466219513,0.0015725469002206525,45.0
2021-07-21,nq1s,0.015542118396313599,0.0065871798628923525,0.0027640636033271606,46.0
2021-07-22,nq1s,0.015067812236913386,0.005416758528228937,0.0011704213346634155,47.0
2021-07-27,nq1s,0.029591399957166788,0.009015471918098528,0.0041995487718323125,50.0
2021-07-28,nq1s,0.012649562817936924,0.005705908602397176,0.003309563315701352,51.0
2021-07-29,nq1s,0.012047857356667892,0.004386850578323101,0.0013190580240740758,52.0
2021-07-30,nq1s,0.015430032898492374,0.004965912633963873,0.0005790620556407724,53.0
2021-08-02,nq1s,0.012386555755910888,0.004188442966325619,0.000777469667638254,54.0
2021-08-03,nq1s,0.014056841434387606,0.004386201671102281,0.00019775870477666165,55.0
2021-08-04,nq1s,0.012194589964153672,0.003957278304120666,0.0004289233669816147,56.0
2021-08-05,nq1s,0.014204348450978236,0.004301246704150788,0.0003439684000301219,57.0
2021-08-06,nq1s,0.015069246112155833,0.004717324191316778,0.0004160774871659898,58.0
2021-08-09,nq1s,0.012335520990071264,0.004069052945360217,0.0006482712459565604,59.0
2021-08-10,nq1s,0.015582895071791641,0.004799064454175063,0.0007300115088148453,60.0
2021-08-11,nq1s,0.012734766280260115,0.004270317861886647,0.0005287465922884154,61.0
2021-08-12,nq1s,0.012874934830626347,0.004049663786096297,0.00022065407579035037,62.0
2021-08-13,nq1s,0.013056859960125235,0.003906559249717236,0.00014310453637906076,63.0
2021-08-16,nq1s,0.013621097494038198,0.003807152844554352,9.940640516288395e-05,64.0
2021-08-17,nq1s,0.02468524415386043,0.006420554923724411,0.0026134020791700593,65.0
2021-08-18,nq1s,0.026484427195769926,0.008640903540038002,0.002220348616313591,66.0
2021-08-19,nq1s,0.014675610988951059,0.0057795913284064936,0.0028613122116315087,67.0
2021-08-20,nq1s,0.022387019790226354,0.00675130528714163,0.0009717139587351363,68.0
2021-08-23,nq1s,0.03260310457114382,0.010944945479900686,0.004193640192759056,69.0
2021-08-24,nq1s,0.013387275224995674,0.0062228444719189015,0.004722101007981785,70.0
2021-08-25,nq1s,0.013110136672389791,0.004563788878505071,0.0016590555934138307,71.0
2021-08-26,nq1s,0.016943579660907402,0.005170452384114941,0.0006066635056098703,72.0
2021-08-27,nq1s,0.019451232178488105,0.0060640469173310904,0.0008935945332161493,73.0
2021-08-30,nq1s,0.021180644425219438,0.007188450189402507,0.0011244032720714161,74.0
2021-08-31,nq1s,0.012595622266300939,0.004993245939484822,0.0021952042499176847,75.0
2021-09-01,nq1s,0.012273318966957972,0.00415360259789185,0.000839643341592972,76.0
2021-09-02,nq1s,0.012547946054653456,0.003942205141920164,0.00021139745597168608,77.0
2021-09-03,nq1s,0.012821285321758075,0.003878422039680784,6.37831022393797e-05,78.0
2021-09-07,nq1s,0.012523197863228258,0.0037875563946462992,9.08656450344849e-05,79.0
2021-09-08,nq1s,0.01433580786269125,0.004215023316854526,0.00042746692220822693,80.0
2021-09-09,nq1s,0.014563798564596098,0.004465943142635018,0.0002509198257804922,81.0
2021-09-10,nq1s,0.01897812901325521,0.0058826331432105545,0.0014166900005755361,82.0
2021-09-13,nq1s,0.012355319331353245,0.00449836951080382,0.0013842636324067348,83.0
2021-09-14,nq1s,0.013616565434810837,0.004425424568380538,7.294494242328191e-05,84.0
2021-09-15,nq1s,0.015650949795275513,0.004815956264192938,0.00039053169581240027,85.0
2021-09-16,nq1s,0.013271784104767762,0.004096892029839298,0.00071906423435364,86.0
2021-09-17,nq1s,0.03270127938962063,0.009171436715343517,0.005074544685504219,87.0
2021-09-20,nq1s,0.17251480044864437,0.06068658385761534,0.051515147142271824,88.0
2021-09-21,nq1s,0.011801617068002968,0.023013579797654993,0.03767300405996035,89.0
2021-09-22,nq1s,0.016676529648872184,0.013772470366624507,0.009241109431030486,90.0
2021-09-23,nq1s,0.01639835384429536,0.00956066829981557,0.0042118020668089375,91.0
2021-09-24,nq1s,0.011569970056885457,0.005646610240119372,0.003914058059696197,92.0
2021-09-27,nq1s,0.0194015302103554,0.0067891071843536165,0.0011424969442342444,93.0
2021-09-28,nq1s,0.7171562206944085,0.2994657239130123,0.2926766167286587,94.0
2021-09-29,nq1s,0.012796979293880077,0.12822101256078866,0.17124471135222363,95.0
2021-09-30,nq1s,0.014216729178147964,0.054421820653528644,0.07379919190726002,96.0
2021-10-01,nq1s,0.013213757912931572,0.022566064937103232,0.03185575571642541,97.0
2021-10-04,nq1s,0.18753150814621258,0.09738653392229474,0.07482046898519151,98.0
2021-10-05,nq1s,0.030507078378132494,0.07120330883240335,0.02618322508989139,99.0
2021-10-06,nq1s,0.01754347593005331,0.03136011447104107,0.03984319436136228,100.0
2021-10-07,nq1s,0.01994042670967955,0.016348167440854284,0.015011947030186785,101.0
2021-10-08,nq1s,0.020171101249438092,0.009546904275047965,0.006801263165806318,102.0
2021-10-11,nq1s,0.02527535218992829,0.008145566613543005,0.001401337661504961,103.0
2021-10-12,nq1s,0.018183291004434953,0.005735229523531723,0.0024103370900112817,104.0
2021-10-13,nq1s,0.018987227049855976,0.005328953019767088,0.00040627650376463473,105.0
2021-10-14,nq1s,0.08598475803680425,0.017822803448104912,0.012493850428337824,106.0
2021-10-15,nq1s,0.020984630741661747,0.009536459170450547,0.008286344277654366,107.0
2021-10-18,nq1s,0.02368165290792307,0.008380876995932592,0.0011555821745179544,108.0
2021-10-19,nq1s,0.018721844399478223,0.006187656779189097,0.0021932202167434956,109.0
2021-10-20,nq1s,0.016485640712959528,0.004704057287720265,0.0014835994914688313,110.0
2021-10-21,nq1s,0.01743154793936874,0.004652443420927016,5.161386679324899e-05,111.0
2021-10-22,nq1s,0.030742302743379524,0.006804053326370426,0.00215160990544341,112.0
2021-10-25,nq1s,0.02355273394775918,0.006920159000384504,0.00011610567401407722,113.0
2021-10-26,nq1s,0.011966803417406824,0.004862521121755101,0.002057637878629403,114.0
2021-10-27,nq1s,0.011842951519361385,0.004148117601179886,0.0007144035205752146,115.0
2021-10-28,nq1s,0.02044608211516164,0.006376757125355295,0.002228639524175409,116.0
2021-10-29,nq1s,0.012463691735794202,0.004866969510558394,0.0015097876147969012,117.0
2021-11-01,nq1s,0.012338116995937258,0.0042095625241697346,0.0006574069863886593,118.0
2021-11-02,nq1s,0.012915332920124846,0.004060883799525903,0.00014867872464383123,119.0
2021-11-03,nq1s,0.01987761800943697,0.005853319759055727,0.0017924359595298239,120.0
2021-11-04,nq1s,0.02433652148663624,0.00814383172340522,0.002290511964349493,121.0
2021-11-05,nq1s,0.012284947957050655,0.005179574821602946,0.0029642569018022737,122.0
2021-11-08,nq1s,0.01339759751967227,0.004375561432265136,0.0008040133893378104,123.0
2021-11-09,nq1s,0.018397708706885337,0.0055962118323641995,0.0012206504000990635,124.0
2021-11-10,nq1s,0.04753627245283011,0.014810133844068681,0.00921392201170448,125.0
2021-11-11,nq1s,0.012048722571396721,0.007436844602098332,0.007373289241970349,126.0
2021-11-12,nq1s,0.01932359872939646,0.007561894224936978,0.00012504962283864645,127.0
2021-11-15,nq1s,0.012078669103914265,0.00505436395167853,0.002507530273258448,128.0
2021-11-16,nq1s,0.014346870166477739,0.004886429824509902,0.00016793412716862872,129.0
2021-11-17,nq1s,0.011973512408500558,0.004124003555047821,0.0007624262694620803,130.0
2021-11-18,nq1s,0.0189797561396516,0.0058059746394236115,0.0016819710843757902,131.0
2021-11-19,nq1s,0.013870565666852724,0.004853476027147419,0.0009524986122761928,132.0
2021-11-22,nq1s,0.03089716848676238,0.00951713539581134,0.004663659368663921,133.0
2021-11-23,nq1s,0.01397093543568849,0.006574052694970477,0.0029430827008408624,134.0
2021-11-24,nq1s,0.011934711879406517,0.004759464250580357,0.00181458844439012,135.0
2021-11-26,nq1s,0.12998085057442904,0.03386580026633239,0.02910633601575203,136.0
2021-11-29,nq1s,0.10005329409704293,0.08722753242866972,0.05336173216233733,137.0
2021-11-30,nq1s,0.06179411049845739,0.10875423136369103,0.021526698935021307,138.0
2021-12-01,nq1s,0.11897837299151001,0.198906849206216,0.09015261784252498,139.0
2021-12-02,nq1s,0.017753666755474736,0.0910916512890266,0.10781519791718941,140.0
2021-12-03,nq1s,0.10932415001600707,0.15954724952429086,0.06845559823526426,141.0
2021-12-06,nq1s,0.019536752544208936,0.07386843141937618,0.08567881810491468,142.0
2021-12-07,nq1s,0.6875094452788137,0.6045506595947905,0.5306822281754143,1.0
2021-12-08,nq1s,0.02656707753900332,0.33883752152677865,0.26571313806801183,1.0
2021-12-09,nq1s,0.1259804264783987,0.3863457985526125,0.04750827702583382,2.0
2021-12-10,nq1s,0.043913071359136115,0.24954732537714383,0.13679847317546864,3.0
2021-12-13,nq1s,0.154460610959809,0.3034276233723469,0.05388029799520308,4.0
