date,instrument,f5_signal,f5_abs_signal,f5_trailing_run_length,f5_days_since_flip,f5_days_since_nonzero,f5_participation_20,f5_participation_60,f5_long_bias_20,f5_sign_agree_mr,f5_signal_entropy_20,f5_flip_rate_60
2020-09-09,es1s,1.0,1.0,2.0,1.0,0.0,0.85,0.8166666666666667,-0.35,1.0,0.9376369622724492,0.35
2020-09-10,es1s,1.0,1.0,3.0,2.0,0.0,0.85,0.8166666666666667,-0.25,1.0,0.9745701894462542,0.35
2020-09-11,es1s,1.0,1.0,4.0,3.0,0.0,0.9,0.8166666666666667,-0.2,1.0,0.926506603289533,0.35
2020-09-14,es1s,1.0,1.0,5.0,4.0,0.0,0.9,0.8166666666666667,-0.2,1.0,0.926506603289533,0.35
2020-09-15,es1s,1.0,1.0,6.0,5.0,0.0,0.9,0.8166666666666667,-0.2,1.0,0.926506603289533,0.35
2020-09-16,es1s,1.0,1.0,7.0,6.0,0.0,0.9,0.8166666666666667,-0.1,1.0,0.9433483923290392,0.35
2020-09-17,es1s,1.0,1.0,8.0,7.0,0.0,0.9,0.8166666666666667,0.0,1.0,0.9489154358953991,0.35
2020-09-18,es1s,1.0,1.0,9.0,8.0,0.0,0.9,0.8166666666666667,0.1,1.0,0.9433483923290393,0.35
2020-09-21,es1s,1.0,1.0,10.0,9.0,0.0,0.95,0.8166666666666667,0.15,1.0,0.8451132568429528,0.35
2020-09-22,es1s,1.0,1.0,11.0,10.0,0.0,0.95,0.8166666666666667,0.25,1.0,0.8237197315118312,0.35
2020-09-23,es1s,1.0,1.0,12.0,11.0,0.0,0.95,0.8166666666666667,0.35,1.0,0.7909873504355756,0.35
2020-09-24,es1s,1.0,1.0,13.0,12.0,0.0,0.95,0.8166666666666667,0.45,1.0,0.7460326647147849,0.35
2020-09-25,es1s,1.0,1.0,14.0,13.0,0.0,0.95,0.8333333333333334,0.55,1.0,0.6874357505033554,0.3333333333333333
2020-09-28,es1s,1.0,1.0,15.0,14.0,0.0,0.95,0.85,0.65,-1.0,0.6128694524619496,0.3333333333333333
2020-09-29,es1s,1.0,1.0,16.0,15.0,0.0,0.95,0.8666666666666667,0.75,-1.0,0.5181862130502128,0.3333333333333333
2020-09-30,es1s,1.0,1.0,17.0,16.0,0.0,0.95,0.8666666666666667,0.85,-1.0,0.39439769144744274,0.31666666666666665
2020-10-01,es1s,1.0,1.0,18.0,17.0,0.0,0.95,0.8833333333333333,0.95,-1.0,0.1985152433458726,0.3
2020-10-02,es1s,1.0,1.0,19.0,18.0,0.0,0.95,0.8833333333333333,0.95,-1.0,0.1985152433458726,0.2833333333333333
2020-10-05,es1s,1.0,1.0,20.0,19.0,0.0,1.0,0.8833333333333333,1.0,-1.0,-0.0,0.2833333333333333
2020-10-06,es1s,1.0,1.0,21.0,20.0,0.0,1.0,0.9,1.0,-1.0,-0.0,0.26666666666666666
2020-10-07,es1s,1.0,1.0,22.0,21.0,0.0,1.0,0.9166666666666666,1.0,-1.0,-0.0,0.26666666666666666
2020-10-08,es1s,1.0,1.0,23.0,22.0,0.0,1.0,0.9166666666666666,1.0,-1.0,-0.0,0.25
2020-10-09,es1s,1.0,1.0,24.0,23.0,0.0,1.0,0.9166666666666666,1.0,-1.0,-0.0,0.25
