date,instrument,f7_volume_z_20,f7_volume_trend_20,f7_oi_level,f7_oi_change,f7_oi_z_20,f7_oi_price_div_20,f7_amihud_20,f7_rolls_spread_20,f7_kyles_lambda_20,f7_overnight_gap,z_f7_amihud_20,z_f7_oi_level,z_f7_oi_change,z_f7_kyles_lambda_20,z_f7_rolls_spread_20,z_f7_overnight_gap
2020-04-02,pl1s,-1.0460026520218202,-0.6373076279257077,50923.65131695,684.3772084200027,0.7309604861625163,1.0,1.9747624207299118e-06,0.0,0.00026326213747594626,0.001948504449614216,-0.29289112909108017,1.111379465873912,0.2673229487502211,0.4651092203610432,-0.6681077291125878,0.4171890055481099
2020-04-03,pl1s,-1.0116707553166977,-0.6482941303977269,50569.59191652,-354.0594004300001,0.7565942425058482,1.0,2.043285571794698e-06,0.0,0.00026434392780620323,0.0012321173475135258,-0.28873225127297064,1.09565414937448,-0.14124659281843183,0.4728494135545622,-0.6680440246020158,0.2724666402430846
2020-04-06,pl1s,-0.8652133545884332,-0.5897985128660435,50538.62462202,-30.967294500005664,0.7789921456523416,1.0,2.0970958923438964e-06,0.0,0.0002640368005624982,0.0009743197959879311,-0.2854619984553892,1.0941345758909613,-0.014114974145803556,0.47059939526954425,-0.6679803383114538,0.22037571809157516
2020-04-08,pl1s,-0.5849939696535619,-0.4326227105633459,49669.47588975,-491.34773937999853,0.6531973409008122,-1.0,2.2426202568721108e-06,0.0,0.00027754692422475547,-0.012154099658382992,-0.27663257572286626,1.0556225734178406,-0.19525738907148815,0.5676900144747689,-0.6678530203556294,-2.430468781265416
2020-04-09,pl1s,-0.5324591684427993,-0.3829198618179217,49844.95722525,175.48133550000057,0.6452274630321038,-1.0,2.230917753165198e-06,0.0,0.00026371078075088696,0.002994421723140806,-0.2773198674361306,1.0631886721822785,0.0671736326628226,0.46810648588250126,-0.667789388673017,0.6281550299222742
2020-04-13,pl1s,-0.7891543377612296,-0.5700475988258429,49249.35292772,-595.6042975300006,0.5195869356219925,1.0,2.1832698424716656e-06,0.0,0.0002525179111698539,0.0037333376666955423,-0.28017847628468157,1.0368619960722738,-0.23629621826581204,0.38754419233878507,-0.6677257751757142,0.7772756596603684
2020-04-15,pl1s,-0.16646118744433758,-0.09162552272800328,46169.13936824,-1697.0077385299955,-0.05202324550348905,1.0,2.295704666928146e-06,0.0,0.00025808805893919046,0.0,-0.2733466320845492,0.9012107374289159,-0.6697122156924519,0.42755757842633074,-0.6675986027024012,0.02329986530336142
2020-04-16,pl1s,-0.13970755761468512,-0.06314546628973017,45948.23933415,-220.900034090002,-0.2338282822818829,1.0,2.2171038143313233e-06,0.0,0.000238863330894946,-0.00012429308361363512,-0.27807618633623854,0.8913938570936712,-0.08865146123561582,0.28919222111371456,-0.6675350437090873,-0.0018000516811611078
2020-04-17,pl1s,-0.7454152861907651,-0.2711869109609705,45451.73037902,-496.50895512999705,-0.7129514275209738,1.0,2.2552126811979814e-06,7.140909462361258,0.00024041936460394132,0.020462348379667962,-0.27575393949679494,0.8694644266710065,-0.1971357504005855,0.30036713832242307,0.38159870122252887,4.150808432954681
2020-04-21,pl1s,1.624306543227637,0.611436112500856,42817.44586032,-2430.9326181600045,-2.2882542985132774,1.0,2.1551714120365658e-06,1.623597655566322,0.0002376327356610589,-0.010735815136904775,-0.2817587124467635,0.7534677980639168,-0.9586308075143062,0.2802838441948714,-0.42896021537820317,-2.1424583229327214
2020-04-22,pl1s,-0.9688706442933506,-0.3826233305587976,43226.21414771,408.76828739000484,-1.947182397210416,-1.0,1.7523384483595014e-06,0.0,0.00019190817907965537,-0.002111933209330282,-0.3060826594050309,0.7713597436646293,0.1594003653060743,-0.048837988056760984,-0.6674751903569883,-0.4030539887231032
2020-04-23,pl1s,-0.20799909623855872,-0.08219051148989531,43485.30717835,259.09303063999687,-1.6261115693037624,-1.0,1.700205514525402e-06,22.523573350674223,0.00018200963063908453,0.010916287744627289,-0.3092113550768423,0.7826689964396818,0.10046006179434575,-0.1200841376676605,2.6409699505014195,2.2239183219547023
2020-04-27,pl1s,-1.197872966401935,-0.528214846769419,43876.52733218,97.03085609999835,-1.1976939745916368,-1.0,1.8058846838150693e-06,21.985816656019406,0.00018813945220046344,0.009005592832220554,-0.30278012458862485,0.7996998553196436,0.0366299697562807,-0.07594431125377737,2.559426634415085,1.8380838938857356
2020-04-29,pl1s,0.416153420292625,0.185668084239605,44390.58442086,-38.19299654999486,-0.844857984976803,-1.0,1.8437083025727995e-06,21.39154191946626,0.00018910523694230932,-0.0010060362921192757,-0.30045081906492904,0.8221229743762515,-0.016652212457708725,-0.06898267302119171,2.469849794156744,-0.1806700452626404
2020-04-30,pl1s,0.2594471775796513,0.11546147057978318,44538.1951913,147.6107704399983,-0.714580805963479,-1.0,1.837277659959608e-06,21.18938229919535,0.00018874615687862353,0.010079099825833512,-0.30081808611839655,0.8285223837102413,0.05652674362732701,-0.07156333451910614,2.4390805734333747,2.0538068665088
2020-05-01,pl1s,0.10233818070847274,0.04486144403116654,43778.46423293,-759.7309583700044,-0.8909672026183579,-1.0,1.966619484644706e-06,22.283947389643924,0.0002033391947578538,-0.008027211980587038,-0.2929769556162221,0.7950280055260616,-0.30085051228040743,0.03352670218528382,2.5982577389181496,-1.5959639697465766
2020-05-08,pl1s,-0.42022506029730183,-0.1936082857087802,43230.34312031,270.4477052899965,-0.7330143789955466,-1.0,1.8840020231654991e-06,21.902584230076062,0.00019422105332341319,-0.00025575447784677774,-0.29786610887936854,0.7705254148883879,0.10502076559560031,-0.032137229010541155,2.5359893562147784,-0.02936641278023362
