date,instrument,f17_hmm_state_lo,f17_hmm_state_mid,f17_hmm_state_hi,f17_hmm_state_argmax
2020-01-14,hg1s,0.4302430434260316,0.5687580524407454,0.0009989041338965548,1.0
2020-01-15,hg1s,0.44042010618019073,0.5587209685173322,0.000858925303690331,1.0
2020-01-16,hg1s,0.43948751238586375,0.5596458486704974,0.0008666389446475479,1.0
2020-01-17,hg1s,0.43164075071144753,0.5675824132412339,0.0007768360490219575,1.0
2020-01-21,hg1s,0.32225961452552476,0.6759654615770984,0.0017749238991093847,1.0
2020-01-22,hg1s,0.3894642965528942,0.6095660396555794,0.0009696637926968111,1.0
2020-01-23,hg1s,0.30357752278353073,0.6953417884897445,0.0010806887280239358,1.0
2020-01-24,hg1s,0.2813995631223355,0.7172704119234613,0.0013300249539117957,1.0
2020-01-27,hg1s,0.02422755239467056,0.9596142473585624,0.0161582002468192,1.0
2020-01-28,hg1s,0.33766529230746484,0.660211027482541,0.0021236802112078366,1.0
2020-01-29,hg1s,0.2174799915372994,0.7815592554468984,0.0009607530175111024,1.0
2020-01-30,hg1s,0.2085776535265235,0.79030363937698,0.0011187070948133937,1.0
2020-01-31,hg1s,0.40312512203908885,0.5961555505297643,0.0007193274305605207,1.0
2020-02-03,hg1s,0.3444110196530391,0.6550199200135898,0.0005690603347837207,1.0
2020-02-04,hg1s,0.6961544056128379,0.3027609967143717,0.0010845976715413838,0.0
2020-02-05,hg1s,0.627831488012732,0.3713583579142028,0.0008101540738145527,0.0
2020-02-06,hg1s,0.5115528635985683,0.487809660662578,0.0006374757374624222,0.0
2020-02-07,hg1s,0.07918765147229008,0.9197013720779114,0.0011109764509588658,1.0
2020-02-10,hg1s,0.4275794601756506,0.5713492639315414,0.0010712758942541672,1.0
2020-02-11,hg1s,0.6772812666490321,0.32168887609368974,0.0010298572565869799,0.0
2020-02-12,hg1s,0.48171168549766663,0.5177095694880068,0.0005787450142418905,1.0
2020-02-13,hg1s,0.4927193410989597,0.5065709176114243,0.0007097412893484206,1.0
2020-02-14,hg1s,0.24215187817346093,0.7571633545947296,0.0006847672318192184,1.0
2020-02-18,hg1s,0.4630680809384534,0.536045464218568,0.0008864548421231243,1.0
2020-02-19,hg1s,0.3941253579905599,0.60524544812958,0.0006291938796737928,1.0
2020-02-20,hg1s,0.24633812278609452,0.7529340349188148,0.0007278422933349077,1.0
2020-02-21,hg1s,0.6057735655766517,0.393360042877703,0.0008663915462572976,0.0
