scope,members,pool_size,instrument,asset_class,model,variant,n_modelling,n_oos,mean_auc,sem,std_auc,lower_ci_1se,skipped,reason,elapsed_s
fesx_only,fesx1s,1,fesx1s,equity,elasticnet_logistic,without_bbg,450,2100,0.506692,0.018131,0.067839,0.488562,False,,0.710000
fesx_only,fesx1s,1,fesx1s,equity,random_forest,without_bbg,450,2100,0.521758,0.017417,0.065167,0.504341,False,,1.340000
fesx_only,fesx1s,1,fesx1s,equity,xgboost,without_bbg,450,2100,0.520985,0.021210,0.079362,0.499774,False,,0.460000
fesx_only,fesx1s,1,fesx1s,equity,lightgbm,without_bbg,450,2100,0.512909,0.015260,0.057096,0.497649,False,,0.720000
us_equity,es1s+nq1s,2,es1s,equity,elasticnet_logistic,without_bbg,827,1889,0.513665,0.019882,0.074392,0.493782,False,,1.710000
us_equity,es1s+nq1s,2,es1s,equity,random_forest,without_bbg,827,1889,0.560534,0.013098,0.049006,0.547437,False,,1.850000
us_equity,es1s+nq1s,2,es1s,equity,xgboost,without_bbg,827,1889,0.542440,0.016589,0.062072,0.525850,False,,0.620000
us_equity,es1s+nq1s,2,es1s,equity,lightgbm,without_bbg,827,1889,0.559028,0.016015,0.059923,0.543013,False,,1.360000
us_equity,es1s+nq1s,2,nq1s,equity,elasticnet_logistic,without_bbg,827,1967,0.518036,0.018208,0.068127,0.499828,False,,1.710000
us_equity,es1s+nq1s,2,nq1s,equity,random_forest,without_bbg,827,1967,0.533061,0.015469,0.057879,0.517592,False,,1.840000
us_equity,es1s+nq1s,2,nq1s,equity,xgboost,without_bbg,827,1967,0.511341,0.017873,0.066873,0.493468,False,,0.630000
us_equity,es1s+nq1s,2,nq1s,equity,lightgbm,without_bbg,827,1967,0.532206,0.015207,0.056901,0.516999,False,,1.370000
es_fesx,es1s+fesx1s,2,es1s,equity,elasticnet_logistic,without_bbg,855,1889,0.529581,0.019811,0.074127,0.509770,False,,1.610000
es_fesx,es1s+fesx1s,2,es1s,equity,random_forest,without_bbg,855,1889,0.551535,0.021601,0.080824,0.529934,False,,1.860000
es_fesx,es1s+fesx1s,2,es1s,equity,xgboost,without_bbg,855,1889,0.572356,0.017639,0.066000,0.554716,False,,0.640000
es_fesx,es1s+fesx1s,2,es1s,equity,lightgbm,without_bbg,855,1889,0.596615,0.018291,0.068438,0.578324,False,,1.420000
es_fesx,es1s+fesx1s,2,fesx1s,equity,elasticnet_logistic,without_bbg,855,2099,0.520083,0.022107,0.082718,0.497976,False,,1.600000
es_fesx,es1s+fesx1s,2,fesx1s,equity,random_forest,without_bbg,855,2099,0.548904,0.015149,0.056682,0.533755,False,,1.870000
es_fesx,es1s+fesx1s,2,fesx1s,equity,xgboost,without_bbg,855,2099,0.549534,0.017572,0.065748,0.531962,False,,0.640000
es_fesx,es1s+fesx1s,2,fesx1s,equity,lightgbm,without_bbg,855,2099,0.548956,0.016078,0.060157,0.532878,False,,1.420000
nq_fesx,nq1s+fesx1s,2,nq1s,equity,elasticnet_logistic,without_bbg,872,1969,0.515341,0.011408,0.042683,0.503933,False,,1.680000
nq_fesx,nq1s+fesx1s,2,nq1s,equity,random_forest,without_bbg,872,1969,0.508533,0.015084,0.056438,0.493449,False,,1.890000
nq_fesx,nq1s+fesx1s,2,nq1s,equity,xgboost,without_bbg,872,1969,0.492860,0.017483,0.065415,0.475377,False,,0.650000
nq_fesx,nq1s+fesx1s,2,nq1s,equity,lightgbm,without_bbg,872,1969,0.517069,0.017208,0.064385,0.499861,False,,1.470000
nq_fesx,nq1s+fesx1s,2,fesx1s,equity,elasticnet_logistic,without_bbg,872,2099,0.540321,0.012734,0.047645,0.527587,False,,1.680000
nq_fesx,nq1s+fesx1s,2,fesx1s,equity,random_forest,without_bbg,872,2099,0.535082,0.015495,0.057976,0.519587,False,,1.890000
nq_fesx,nq1s+fesx1s,2,fesx1s,equity,xgboost,without_bbg,872,2099,0.517827,0.018567,0.069470,0.499260,False,,0.650000
nq_fesx,nq1s+fesx1s,2,fesx1s,equity,lightgbm,without_bbg,872,2099,0.508967,0.020182,0.075514,0.488785,False,,1.490000
metals_all,gc1s+si1s+hg1s+pl1s,4,gc1s,metals,elasticnet_logistic,without_bbg,1385,645,0.453771,0.031086,0.116314,0.422685,False,,3.030000
metals_all,gc1s+si1s+hg1s+pl1s,4,gc1s,metals,random_forest,without_bbg,1385,645,0.379079,0.028072,0.105034,0.351008,False,,2.600000
metals_all,gc1s+si1s+hg1s+pl1s,4,gc1s,metals,xgboost,without_bbg,1385,645,0.466133,0.034670,0.129723,0.431463,False,,0.700000
metals_all,gc1s+si1s+hg1s+pl1s,4,gc1s,metals,lightgbm,without_bbg,1385,645,0.455618,0.026232,0.098152,0.429386,False,,2.210000
